Hidden Size,Dropout,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
16,0.2,1.2861946821212769,0.582051282051282,0.39770292606386776,0.4736566881394468,0.4001820135299375,1.3052695989608765,1.3771212100982666,0.5,0.31446428571428575,0.4386206896551724,0.3604439443535188
16,0.5,1.2873022556304932,0.5787179487179487,0.38865010820181695,0.47047934823796894,0.3990547814892873,1.3051143884658813,1.3793398141860962,0.5,0.31446428571428575,0.4386206896551724,0.3604439443535188
16,0.8,1.287752389907837,0.5805128205128205,0.39362477320437106,0.4724024251610459,0.399802531850376,1.306607961654663,1.3805320262908936,0.5119047619047619,0.32606060606060605,0.4552873563218391,0.3733870967741935
32,0.2,1.376481294631958,0.5461538461538462,0.2817128845769279,0.3708791208791208,0.29537716004129044,1.339723825454712,1.4265565872192383,0.4642857142857143,0.26645021645021644,0.37222222222222223,0.291336032388664
32,0.5,1.3763562440872192,0.5471794871794873,0.28237319758074403,0.3719780219780219,0.29564183958149104,1.3394801616668701,1.426139235496521,0.4523809523809524,0.25095571095571095,0.3555555555555555,0.27867669172932336
32,0.8,1.3766039609909058,0.5479487179487179,0.2818400044311826,0.3728021978021978,0.2949719724425053,1.3404123783111572,1.4252012968063354,0.4523809523809524,0.20787878787878786,0.35,0.2554385964912281
64,0.2,1.270142912864685,0.5833333333333335,0.3911491083324503,0.47481053429329295,0.3999533317098569,1.2868552207946777,1.3487375974655151,0.5357142857142857,0.3381818181818182,0.4755172413793104,0.38817204301075264
64,0.5,1.2832876443862915,0.5800000000000002,0.3840834484352885,0.47166540356195547,0.39409345734047374,1.3003194332122803,1.3728017807006836,0.5119047619047619,0.32606060606060605,0.4552873563218391,0.3733870967741935
64,0.8,1.2831082344055176,0.5810256410256411,0.38537117485603056,0.4728741947707466,0.3932282222133591,1.3010642528533936,1.3739874362945557,0.5119047619047619,0.32606060606060605,0.4552873563218391,0.3733870967741935
