Aggr,Conv,LSTM,LSTM_out,Loss_final,Accuracy_eval,Precision_eval,Recall_eval,F1_eval,Loss_eval,Loss_tst,Accuracy_tst,Precision_tst,Recall_tst,F1_tst
add,1,1,800,1.0163146257400513,0.6266666666666667,0.5081028438121338,0.523841890867753,0.4983369168066949,1.2552554607391357,1.3295443058013916,0.5476190476190477,0.4574866310160427,0.4898366606170598,0.45156157851810025
add,1,1,850,1.069093942642212,0.6210256410256411,0.5239558000714588,0.5215574081091323,0.49673172663043325,1.255673885345459,1.350512146949768,0.5119047619047619,0.46031565656565654,0.45739261947973375,0.4490354819259047
add,1,1,900,1.0325795412063599,0.6197435897435898,0.48979388786268446,0.5170353353543008,0.48477818747057355,1.2601970434188843,1.3527977466583252,0.5357142857142857,0.41974584555229716,0.4955172413793103,0.44405797101449274
add,1,2,800,1.1342536211013794,0.5979487179487178,0.47940821883233536,0.4996452254641909,0.46843373909701636,1.2954282760620117,1.3672845363616943,0.5238095238095238,0.5030392156862745,0.5098648921153458,0.47495038654068295
add,1,2,850,1.0784937143325806,0.6023076923076923,0.521821913908979,0.5060193255020842,0.4811950387360564,1.291514277458191,1.3458757400512695,0.5119047619047619,0.45915750915750914,0.491139342609397,0.45272460047254925
add,1,2,900,1.0833632946014404,0.5946153846153847,0.47544278241286736,0.49653135657446,0.46178665237627603,1.2650500535964966,1.3308241367340088,0.5714285714285714,0.5119047619047619,0.5159850776366203,0.4777204114153267
add,2,1,800,1.0154131650924683,0.6176923076923078,0.5031011301441235,0.5113205759757483,0.4856228643016677,1.2818864583969116,1.3321772813796997,0.5833333333333334,0.5526388888888889,0.5445271224037105,0.544121107537846
add,2,1,850,1.0176070928573608,0.6258974358974358,0.49347393151216984,0.5181242895035998,0.49046664431373344,1.2601683139801025,1.33476722240448,0.5357142857142857,0.4727668308702791,0.49914700544464613,0.46917778134129084
add,2,1,900,0.9907599687576294,0.6133333333333333,0.48144482985728754,0.5029727169382343,0.47575566181117346,1.2649471759796143,1.3557080030441284,0.5238095238095238,0.4248484848484848,0.48463601532567047,0.4468048080951307
add,2,2,800,1.087217926979065,0.6025641025641026,0.4901365115893033,0.5029911898446382,0.471892301025893,1.3037190437316895,1.4092897176742554,0.5,0.4510822510822511,0.46032466223028834,0.43762607000593273
add,2,2,850,1.0948878526687622,0.5794871794871794,0.4673549895914392,0.4855357142857141,0.4525366948770818,1.299035906791687,1.3432843685150146,0.5595238095238095,0.46804597701149425,0.5235914498890905,0.4710449320794147
add,2,2,900,1.087317705154419,0.6074358974358974,0.5365677414335959,0.5194851269420235,0.4960879593483896,1.2715829610824585,1.3464021682739258,0.5595238095238095,0.5918718718718718,0.487844323452309,0.44193362193362196
mean,1,1,800,1.0133885145187378,0.6397435897435897,0.5474031690437263,0.5360164835164836,0.5134393969054734,1.2137041091918945,1.2960824966430664,0.6071428571428571,0.578227654698243,0.5672675942730389,0.5581780538302278
mean,1,1,850,1.0024833679199219,0.6423076923076922,0.5556125761971829,0.5370367563471011,0.5191807535472064,1.2800781726837158,1.335265874862671,0.5595238095238095,0.5345421245421246,0.507622504537205,0.49392009535110193
mean,1,1,900,1.027050495147705,0.6230769230769232,0.47398547431344934,0.5100004736642668,0.47742697636536574,1.2538886070251465,1.313836693763733,0.5714285714285714,0.5069230769230769,0.5310143174027021,0.49669626654832566
mean,1,2,800,1.1221727132797241,0.5958974358974359,0.47813851386317957,0.49261557408109125,0.457789347055944,1.2831307649612427,1.3216619491577148,0.5714285714285714,0.3989319598807265,0.5115325670498084,0.43646015819928874
mean,1,2,850,1.063355565071106,0.5971794871794871,0.5143905563320422,0.5210884804850322,0.4963426380590586,1.294084072113037,1.3613531589508057,0.5119047619047619,0.43108225108225107,0.4700282314982859,0.43566069311704
mean,1,2,900,1.1090408563613892,0.5928205128205127,0.5014386318975824,0.4928723001136795,0.46233140927336575,1.2845083475112915,1.3074373006820679,0.5595238095238095,0.47375730994152043,0.5047408751764468,0.4615251804220007
mean,2,1,800,0.9752752780914307,0.6407692307692306,0.5122324047486186,0.5322641151951497,0.5079592892903462,1.218258023262024,1.347917079925537,0.5357142857142857,0.4721966205837173,0.5024803387779795,0.4706899224806202
mean,2,1,850,0.9822741746902466,0.6246153846153847,0.4786391754588592,0.5069747063281546,0.47934684793913906,1.2378281354904175,1.354858160018921,0.5357142857142857,0.4791013824884793,0.49300665456745313,0.46610728988293965
mean,2,1,900,1.0191569328308105,0.6312820512820512,0.5164558924712327,0.5255991852974612,0.5047083634608762,1.244017243385315,1.278305172920227,0.6309523809523809,0.5860956690368455,0.5763278886872353,0.575
mean,2,2,800,1.074155569076538,0.5917948717948718,0.4658408489214176,0.493711159530125,0.4626487726647558,1.2665330171585083,1.3529326915740967,0.5119047619047619,0.44384552229379814,0.4747691066747328,0.4344025974025974
mean,2,2,850,1.0704625844955444,0.5871794871794872,0.4864313578751152,0.5000573133762789,0.468730602673971,1.3622488975524902,1.336611032485962,0.5595238095238095,0.5453439153439154,0.5361101028433153,0.5071428571428571
mean,2,2,900,1.05661141872406,0.5956410256410256,0.4975411878106985,0.5017009283819628,0.47375615706801394,1.2693215608596802,1.303308129310608,0.5595238095238095,0.44995337995338,0.4814075418431135,0.4454738100773906
